name,category,location,phone,website,rating,reviews,address,hours,gps_coordinates,data_id
Tapovan Vidyalaya,Private Schools,"Chandauli, Uttar Pradesh",,,,,"77C7+R35, Sakaldiha - Chandauli Rd, Danpur, Chandauli, Uttar Pradesh 232104",Open · Closes 2 pm,"{'latitude': 25.272009399999998, 'longitude': 83.26272589999999}",0x398e1632c9f36237:0x4dc56d6d05d8c34c
ST. Thomas' School,Private Schools,"Chandauli, Uttar Pradesh",05412 260 160,http://stschdnlesvns.org.in/,,,"Ward No.- 10, 10/18, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open · Closes 2 pm,"{'latitude': 25.2546094, 'longitude': 83.2713903}",0x398e173fc13219d1:0x932f12ca28ede0a7
Daddy's International School,Private Schools,"Chandauli, Uttar Pradesh",094157 39330,http://www.daddysinternationalschool.com/,,,"Majhwar Khas, Chandauli, Bisunpura, Uttar Pradesh 232104",Open · Closes 6 pm,"{'latitude': 25.1775937, 'longitude': 83.2783128}",0x398e154d88c11ba3:0x93a22df6a44426e7
The Aryan International School Mughalsarai,Private Schools,"Chandauli, Uttar Pradesh",070546 77699,https://www.thearyanis.com/,4.6,27,"Alinagar, Opposite to Gulli Pandey Pokhara Bypass Road,NH-19 (Delhi - Kolkata Highway, mode, near Godhana, Mughalsarai, Uttar Pradesh 232101",Open · Closes 4 pm,"{'latitude': 25.265234799999998, 'longitude': 83.1471586}",0x398e3b41f4e6eb47:0x8cf8470efc323cdd
Nandan Kanan international school,Private Schools,"Chandauli, Uttar Pradesh",,,,,"6628+78P Sikari, road, Baburi, chandauli, Uttar Pradesh 232102",Open · Closes 5 pm,"{'latitude': 25.2014092, 'longitude': 83.2161249}",0x398e3f7a42c64f43:0x3b2443a3ea58b636
Blossom Academy,Private Schools,"Chandauli, Uttar Pradesh",099363 89206,,,,"77C6+RGQ, Sakaldiha - Chandauli Rd, near polytechnic college, Danpur, Chandauli, Uttar Pradesh 232104",Open · Closes 1:30 pm,"{'latitude': 25.272080199999998, 'longitude': 83.26134379999999}",0x398e178008d14fdb:0x1ecd79ac88eb081e
Aryan Petals (A unit of The Aryan International School Varanasi),Private Schools,"Chandauli, Uttar Pradesh",086016 01601,,5,32,"H, 660, Kailashpuri Road, Ravi Nagar, colony, Chandauli, Mughalsarai Railway Settlement, Uttar Pradesh 232101",Open · Closes 5 pm,"{'latitude': 25.288507, 'longitude': 83.11102509999999}",0x398e3b525f292193:0x85cc13c7b96b0e6a
M D S public school,Private Schools,"Chandauli, Uttar Pradesh",099357 18833,,,,"Near Neharu Nagar g t road bichhiyakala, Chandauli, Uttar Pradesh 232104",Open · Closes 9 pm,"{'latitude': 25.2616534, 'longitude': 83.2533425}",0x398e162861d5d7e3:0x5afa0b7f10870343
Gyanpeeth Residential School,Private Schools,"Chandauli, Uttar Pradesh",093369 91530,https://linktr.ee/gyanpeethresidentialschool,,,"Ward No 5, Lok Manya Tilak Nagar, H No 200, Dak Bungalow Road, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2633595, 'longitude': 83.2658654}",0x398e1745a9afd1dd:0xa8ce117e969a62f7
Sunbeam School Mughalsarai,Private Schools,"Chandauli, Uttar Pradesh",098380 75637,http://sunbeammughalsarai.com/,,,"Sunbeam School, Karwat, GT Road (near FCI Godown), Dulhipur Mughalsarai, Mughalsarai, Uttar Pradesh 232101",Open · Closes 6:30 pm,"{'latitude': 25.2986848, 'longitude': 83.0737127}",0x398e3008bb0529b1:0x6e860e6e1271237f
Sparkles School,Private Schools,"Chandauli, Uttar Pradesh",,,4.9,76,"Pt. D.D, Ledhupur, U Nagar, MGS, Kailashpuri Colony, Mughalsarai, Mughalsarai Railway Settlement, Uttar Pradesh 232101",Open · Closes 1:30 am,"{'latitude': 25.289807, 'longitude': 83.1099132}",0x398e3b9ec0930e5b:0x9b4f87f6d9e99013
St. Joseph's School Kamalpur Chandauli,Private Schools,"Chandauli, Uttar Pradesh",094513 62390,http://www.stjosephchahania.in/,,,"99MH+G28, Kamalpur, Babhaniyaw Thana, Uttar Pradesh 232106",Open · Closes 5 pm,"{'latitude': 25.3837771, 'longitude': 83.3775726}",0x398e1ba6d020b21d:0x59a9ab31d4720d46
BRIJNANDANI CONVENT SCHOOL,Private Schools,"Chandauli, Uttar Pradesh",083189 32458,,,,"Maroofpur, Chahaniya, Uttar Pradesh 232114",Open · Closes 4 pm,"{'latitude': 25.4196411, 'longitude': 83.2165046}",0x398e2185ba62dd29:0xe86a8924ca433fae
BBS International School,Private Schools,"Chandauli, Uttar Pradesh",094502 41859,http://bbsis.org/,,,"C696+HPF, Hingutar Road, Maroofpur, Surtapur, Chahaniya, Uttar Pradesh 232114",Open · Closes 9 pm,"{'latitude': 25.418939899999998, 'longitude': 83.2117959}",0x398e2183bfffffff:0xd0cf2b6ef08b559a
JS Public School,Private Schools,"Chandauli, Uttar Pradesh",081270 43333,http://jspschandauli.com/,,,"Kasimpur, Pachokhar, Uttar Pradesh 232102",Open · Closes 2:30 pm,"{'latitude': 25.2062237, 'longitude': 83.15503509999999}",0x398e394eda5005a7:0x120ed3f86bb16ac
S.S.N. PUBLIC SCHOOL,Private Schools,"Chandauli, Uttar Pradesh",094512 29536,,,,"Kali Mahal Rd, Mughalsarai, Mughalsarai Railway Settlement, Uttar Pradesh 232101",Open · Closes 2 pm,"{'latitude': 25.288358, 'longitude': 83.12584}",0x398e3b3e4ea38937:0xd0748d08390a29d
"Sudama Devi Mahila P.G. College, chhitto, chandauli",Private Schools,"Chandauli, Uttar Pradesh",094155 20005,https://sudamadevipgcollege.in/,4.7,188,"Chhitto, Uttar Pradesh 232104",Open · Closes 5 pm,"{'latitude': 25.2652376, 'longitude': 83.2794323}",0x398e1f13acde072f:0x9afac739c128a223
Manas Convent School (junior Branch),Private Schools,"Chandauli, Uttar Pradesh",091618 89043,http://manasconvent.com/,,,"74JP+7X5, Manasnagar Railway Colony Rd, Manash Colony, Mughalsarai, Uttar Pradesh 232101",Open · Closes 3 pm,"{'latitude': 25.2806419, 'longitude': 83.1374814}",0x398e3b118573b68b:0x650d0a9e2d8a5cb2
Ambrosia Academy,Private Schools,"Chandauli, Uttar Pradesh",,,4.6,12,"Tajpur, Sakaldiha, Parasrampur, Uttar Pradesh 232109",Open · Closes 2 pm,"{'latitude': 25.3446511, 'longitude': 83.2335276}",0x398e3de695c0736b:0xd6f7a36e6e637e16
Mahendra Technical Inter College,Private Schools,"Chandauli, Uttar Pradesh",,https://www.facebook.com/MahendraTechnicalInterCollegeChandauli,4.1,316,"7797+8PV, SH 69, Danpur, Chandauli, Uttar Pradesh 232104",Open · Closes 4:30 pm,"{'latitude': 25.268372499999998, 'longitude': 83.2642991}",0x398e1633ca0da6b9:0x1d4924ad3ee30830
S-1 Classes,Coaching Institutes,"Chandauli, Uttar Pradesh",073950 71772,,4.9,33,"SBI bank, near Pt. Kamla Pati District Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open · Closes 5 pm,"{'latitude': 25.259396, 'longitude': 83.27188}",0x398e17d8b9139fbd:0xc79a5e5cd2112011
𝐒𝐡𝐢𝐯𝐚 𝐂𝐚𝐫𝐞𝐞𝐫 𝐀𝐜𝐚𝐝𝐞𝐦𝐲- 𝐁𝐞𝐬𝐭 𝐀𝐜𝐚𝐝𝐞𝐦𝐢𝐜 𝐂𝐨𝐚𝐜𝐡𝐢𝐧𝐠 𝐢𝐧 𝐕𝐚𝐫𝐚𝐧𝐚𝐬𝐢,Coaching Institutes,"Chandauli, Uttar Pradesh",,,4.9,211,,Open · Closes 8 pm,"{'latitude': 25.295324299999997, 'longitude': 82.51501139999999}",0x224670a8cce0fca9:0xc1b40066c18afb00
Vector Academy,Coaching Institutes,"Chandauli, Uttar Pradesh",,,5,12,"opposite Amit Confaqshnory, near Shubham Lawn (Ricemill, Kamla nagar, Chandauli, Uttar Pradesh 232104",Open · Closes 8:30 pm,"{'latitude': 25.2534214, 'longitude': 83.2729638}",0x398e17da48def161:0x7aff78629fbcc481
A-1 Coaching Center,Coaching Institutes,"Chandauli, Uttar Pradesh",080812 47586,,5,86,"near Apna General Store, Manash Colony, Mughalsarai, Uttar Pradesh 232101",Open · Closes 8 pm,"{'latitude': 25.2782666, 'longitude': 83.13089509999999}",0x398e3bc2feb3a32b:0x8358996254d42db0
OM coaching Center,Coaching Institutes,"Chandauli, Uttar Pradesh",080810 13047,,4.9,98,"near Rastriya inter college, Kamalpur, Uttar Pradesh 232106",Open · Closes 6 pm,"{'latitude': 25.386264399999998, 'longitude': 83.37440699999999}",0x398e1b6ebfccea59:0x374b5f8786875de7
Shashwat coaching centre,Coaching Institutes,"Chandauli, Uttar Pradesh",,,4.9,9,"76V5+4MW, Chandauli Kaili Rd, Sadalpura, Uttar Pradesh 232120",Open 24 hours,"{'latitude': 25.2928587, 'longitude': 83.2092083}",0x398e3dba59071cdf:0x676fdc905449e19d
Anand coaching classes,Coaching Institutes,"Chandauli, Uttar Pradesh",076076 72594,,5,4,"V.D, A. colony, Ram Nagar Industrial Area, Ram nagar, Chandauli, Tengara 0001Suzabad 0009, Uttar Pradesh 221008",Closed · Opens 1 pm,"{'latitude': 25.2452112, 'longitude': 83.0647121}",0x398e319109dff75d:0x7ff2e58c71e82914
CBS COACHING CENTER,Coaching Institutes,"Chandauli, Uttar Pradesh",096955 80001,https://cbscoachingcentre.com/,4.9,620,"Kailashpuri Road, near Shiv Temple, Ravi Nagar, Mughalsarai Railway Settlement, Uttar Pradesh 232101",Open · Closes 8 pm,"{'latitude': 25.288356699999998, 'longitude': 83.11091789999999}",0x398e3b0c45c86c09:0xed0e2ed2ab0bdc58
SK COACHING CENTER,Coaching Institutes,"Chandauli, Uttar Pradesh",091204 17779,,4.9,108,"57MV+3G, Between, Near, and, Bisunpura, Kanta, Uttar Pradesh 232104",Open · Closes 5 pm,"{'latitude': 25.1826755, 'longitude': 83.2938507}",0x398e155476db21b9:0xf70a9c89826f67c0
J.N.V. गुरूकुल Coaching Institute Illia,Coaching Institutes,"Chandauli, Uttar Pradesh",,,,,"Vinod Singh Gali, near Panchayat Bhavan, Chandauli, Ilia, Uttar Pradesh 232118",Open · Closes 6 pm,"{'latitude': 25.0747958, 'longitude': 83.33924789999999}",0x398e6d45f87ed60b:0x89db096f553999dc
Shivam Coaching Centre By Arvind Sir,Coaching Institutes,"Chandauli, Uttar Pradesh",,,4.9,10,"7777+MR6, Sakalidiha Road, Master Colony, Chandauli, Uttar Pradesh 232104",,"{'latitude': 25.264151, 'longitude': 83.2645012}",0x398e16310505d9dd:0x4420c68958e81c5c
JMV Coaching,Coaching Institutes,"Chandauli, Uttar Pradesh",,,5,9,"Ward no 2, daitra beer baba ke pichhe, Kailee Rd, shastri nagar, Chandauli, Uttar Pradesh 232104",Open · Closes 6 pm,"{'latitude': 25.262522, 'longitude': 83.26325}",0x398e17c28840dc5b:0x5fe8a1781650f19d
Wisdom Educare For IIT -JEE NEET,Coaching Institutes,"Chandauli, Uttar Pradesh",073888 84391,https://wisdomeducare.aloyt.com/,4.8,30,"Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 3 pm,"{'latitude': 25.2585464, 'longitude': 83.26983729999999}",0x398e179846c52769:0x2eab8688fe0397c9
Brain Sharp Institute of Computer Technology,Coaching Institutes,"Chandauli, Uttar Pradesh",,,5,4,"Ward No. 8, Grand Trunk Rd, Near KHADIMS SHOW ROOM, Kidwai Nagar, Chandauli, Uttar Pradesh 232104",Open · Closes 7 pm,"{'latitude': 25.2586782, 'longitude': 83.2596184}",0x398e16383415ccfd:0x70b2f608cf273328
ACHIEVERS TUTORIAL,Coaching Institutes,"Chandauli, Uttar Pradesh",,,4.8,24,"KAILI ROAD, Kasopur, Keshavpur, Chandauli, Uttar Pradesh 232104",Closed · Opens 2 pm,"{'latitude': 25.2663181, 'longitude': 83.2534105}",0x398e1726f0887547:0x3260e56a5081f2ed
R-1 computer Institute,Coaching Institutes,"Chandauli, Uttar Pradesh",,,4.8,34,"Mughalsarai, Uttar Pradesh 232101",Open · Closes 8 pm,"{'latitude': 25.270777, 'longitude': 83.1299015}",0x398e3baeca50ff09:0x9d26f8d7805e86e8
Mahendra's Institute - Mughalsarai for Banking SSC State Exam Railway Teaching and CUET,Coaching Institutes,"Chandauli, Uttar Pradesh",073111 69611,https://branch.mahendras.org/mughalsarai-37852/home?utm_source=GBP,4.9,153,"above Axis Bank, Nai Basti, Mughalsarai, Mughalsarai Railway Settlement, Uttar Pradesh 232101",Open · Closes 7 pm,"{'latitude': 25.2871813, 'longitude': 83.1097202}",0x398e3b3ed9c88bcb:0x8a5eefa9c4eea84f
Cyber Gyaan Smart Academy,Coaching Institutes,"Chandauli, Uttar Pradesh",080049 39324,https://cybergyaan.in/,5,20,"Sainik Complex, Fatehpur Kalan, Pratappur, Uttar Pradesh 232104",Open · Closes 8 pm,"{'latitude': 25.2124693, 'longitude': 83.29281759999999}",0x398e158d8d724267:0xd96ce2ba258b0d5c
Gyandarshan coaching center and education center,Coaching Institutes,"Chandauli, Uttar Pradesh",096507 77379,http://gyandarshanclasses.com/,5,46,"New central colony, Hanuman Mandir Rd, near chakia, modh, Mughalsarai, Uttar Pradesh 232101",Open · Closes 9:30 pm,"{'latitude': 25.2780424, 'longitude': 83.12719609999999}",0x398e3b9d8213e92f:0x30a78292134820ae
CHANAKYA TUTORIALS,Coaching Institutes,"Chandauli, Uttar Pradesh",080054 65155,https://chanakyatutorial.com/,4.6,289,,Open · Closes 8 pm,"{'latitude': 25.4022638, 'longitude': 81.80158449999999}",0x398e31f150401753:0x8217f20aa3288f4d
Hariom Hospital and Trauma Center-Best hospital/best Gynaecologist dr in chandauli,Hospitals,"Chandauli, Uttar Pradesh",077538 89710,,5,412,"Kamla Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2587551, 'longitude': 83.27510269999999}",0x398e17a317b3161d:0x508a802d2943db37
"Shivoy Hospital, Chandauli",Hospitals,"Chandauli, Uttar Pradesh",,https://www.facebook.com/drsanjayortho/,5,161,"near Kamlapati Tripathi District Hospital, Kamla Nager, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2590719, 'longitude': 83.2748842}",0x398e170157bd6395:0x4264ab3d09aa181
Dr R D Memorial Hospital,Hospitals,"Chandauli, Uttar Pradesh",077538 89705,,4.7,79,"ward no 3, Nehru Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2607397, 'longitude': 83.2576114}",0x398e17bbd9e6a29d:0x2721771273307431
Surya hospital,Hospitals,"Chandauli, Uttar Pradesh",079921 31267,https://suryahospitalchandauli.in/,4.7,75,"G. T. Road, near punjab National Bank, Sanjay Nagar, FCI Colony, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2600031, 'longitude': 83.2493696}",0x39a007c776d48719:0x14eeaf3461c72a34
Pandit Kamla Pati District Hospital Chandauli,Hospitals,"Chandauli, Uttar Pradesh",,,3.9,94,"775F+F3V, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.258688, 'longitude': 83.2737859}",0x398e1647a4f6ab73:0x1543727a22d55f6
SHARDA HOSPITAL,Hospitals,"Chandauli, Uttar Pradesh",,http://shardahospital.in/,4.9,124,"Grand Trunk Rd, opposite Pt. Kamalapati Tripathi District Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2599828, 'longitude': 83.2739217}",0x398e17e8e336df01:0x29df31a9cd17b334
Anamika Child Care & Hospital®,Hospitals,"Chandauli, Uttar Pradesh",091181 80180,https://www.facebook.com/share/1PNKqX5V8K/,4.9,352,"Futiya, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.258298999999997, 'longitude': 83.278038}",0x398e16442d55737d:0xf7c2f1cf5876c1b2
Satkriti Hospital - Chandauli,Hospitals,"Chandauli, Uttar Pradesh",081880 88574,https://satkritihospital.com/best-ent-specialist-in-chandauli.php,4.9,78,"Grand Trunk Rd, near District Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open · Closes 6 pm,"{'latitude': 25.260071, 'longitude': 83.26851979999999}",0x398e17c3a80ce9e1:0x7658ac70de4115dc
Motherhood Children Hospital,Hospitals,"Chandauli, Uttar Pradesh",,,4.9,12,"near Kamlapati district hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2586418, 'longitude': 83.2761495}",0x398e17bd361abd91:0xb6d1c42296dab030
KG Nanda Hospital Chandauli,Hospitals,"Chandauli, Uttar Pradesh",096283 00438,,3.7,147,"Word No.11, 7763+3PP, Sanjay Nagar, Infront of Chaurashia Petrol Pump, near CHAURASIYA PETROL PUMP, Bichhiya Kala, Chandauli, Jasori, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2603781, 'longitude': 83.2551563}",0x398e1628a794315b:0x180372a0f2950ada
SAM Hospital,Hospitals,"Chandauli, Uttar Pradesh",063924 10456,https://samhospital.co.in/,4.7,14,"Ward no 15, Gandhi Nagar, near Math Mandir, Ward Number 11, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open · Closes 11 pm,"{'latitude': 25.2579226, 'longitude': 83.26260669999999}",0x398e163ae0aa10b9:0x118261ef827a6468
Abhishek Hospital®,Hospitals,"Chandauli, Uttar Pradesh",094152 24892,http://abhishekhospital.org/,4.4,185,"State Highway 69, Danpur, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.267949599999998, 'longitude': 83.2666548}",0x398e1633f524211d:0xe2f2b9bfa0946b3f
Vedanta - Superspeciality Hospital & Trauma Center,Hospitals,"Chandauli, Uttar Pradesh",094528 08837,http://vedantahospital.co.in/,4.5,13,"Grand Trunk Rd, near Pt Kamalapati Tripathi Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.259044199999998, 'longitude': 83.2752549}",0x398e1727231c7da5:0x5b5ed1fee1ea9a2b
Ditya hospital,Hospitals,"Chandauli, Uttar Pradesh",084001 94461,,5,11,"Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2597407, 'longitude': 83.2752879}",0x398e164637dcc05f:0x40cd704fd8c586ad
Astha Hospital,Hospitals,"Chandauli, Uttar Pradesh",,,4.7,16,"Futiya, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.258026599999997, 'longitude': 83.2802001}",0x398e163376a25677:0x8e0479ee14c20608
Indrajeet Singh Memorial hospital,Hospitals,"Chandauli, Uttar Pradesh",098391 43999,,4.7,6,"7767+C68, Near Tehsil chandauli ,Ward no.-11, Bichhiya Kala, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.259251, 'longitude': 83.262462}",0x398e163abf01c6bd:0x6a6cee59c880a2ee
Ayushman Hospital Chandauli,Hospitals,"Chandauli, Uttar Pradesh",,,4.4,5,"Ward No.4, near State Bank Of India, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2604696, 'longitude': 83.264538}",0x398e17fbdad20bc9:0xdd473c1a8423f8df
Indira IVF Fertility Centre & Sam Hospital - Best IVF Center in Chandauli,Hospitals,"Chandauli, Uttar Pradesh",088671 81100,https://www.indiraivf.com/,5,123,"Ward No. 14, Gandhinagar, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open · Closes 5 pm,"{'latitude': 25.2593087, 'longitude': 83.265333}",0x398e170bc3f53395:0x9f65f9662cfb6f61
Shivam Hospital Tarajeevanpur sakaldiha road Chandauli,Hospitals,"Chandauli, Uttar Pradesh",,,4.9,14,"Shivam hospital, Jivanpur, Uttar Pradesh 232120",Open 24 hours,"{'latitude': 25.3054982, 'longitude': 83.1852784}",0x398e3d3c166d9b13:0x2ed38abe1c1b2a1a
Kashi Jeevan Jyoti Hospital,Hospitals,"Chandauli, Uttar Pradesh",,,4.5,2,"775G+V2H, in front of Pt Kamalapati Tripathi Govt Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.259679, 'longitude': 83.2751152}",0x398e1646484aae0d:0x440944738548d4ab
Hariom Hospital and Trauma Center-Best hospital/best Gynaecologist dr in chandauli,Private Clinics,"Chandauli, Uttar Pradesh",077538 89710,,5,412,"Kamla Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2587551, 'longitude': 83.27510269999999}",0x398e17a317b3161d:0x508a802d2943db37
Anamika Child Care & Hospital®,Private Clinics,"Chandauli, Uttar Pradesh",091181 80180,https://www.facebook.com/share/1PNKqX5V8K/,4.9,352,"Futiya, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.258298999999997, 'longitude': 83.278038}",0x398e16442d55737d:0xf7c2f1cf5876c1b2
"Shivoy Hospital, Chandauli",Private Clinics,"Chandauli, Uttar Pradesh",,https://www.facebook.com/drsanjayortho/,5,161,"near Kamlapati Tripathi District Hospital, Kamla Nager, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2590719, 'longitude': 83.2748842}",0x398e170157bd6395:0x4264ab3d09aa181
Shaligram Ortho & Spine Clinic,Private Clinics,"Chandauli, Uttar Pradesh",073795 52121,,5,22,"Sanjay Nagar Sector 11, near Electric Power House, Bichhiya Kala, Chandauli, Uttar Pradesh 232104",Open · Closes 2 pm · Reopens 5 pm,"{'latitude': 25.260206699999998, 'longitude': 83.25711629999999}",0x398e172729d89dcf:0xe71d6904873659a9
SHARDA HOSPITAL,Private Clinics,"Chandauli, Uttar Pradesh",,http://shardahospital.in/,4.9,124,"Grand Trunk Rd, opposite Pt. Kamalapati Tripathi District Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2599828, 'longitude': 83.2739217}",0x398e17e8e336df01:0x29df31a9cd17b334
Satkriti Hospital - Chandauli,Private Clinics,"Chandauli, Uttar Pradesh",081880 88574,https://satkritihospital.com/best-ent-specialist-in-chandauli.php,4.9,78,"Grand Trunk Rd, near District Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open · Closes 6 pm,"{'latitude': 25.260071, 'longitude': 83.26851979999999}",0x398e17c3a80ce9e1:0x7658ac70de4115dc
Abhishek Hospital®,Private Clinics,"Chandauli, Uttar Pradesh",094152 24892,http://abhishekhospital.org/,4.4,185,"State Highway 69, Danpur, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.267949599999998, 'longitude': 83.2666548}",0x398e1633f524211d:0xe2f2b9bfa0946b3f
SAM Hospital,Private Clinics,"Chandauli, Uttar Pradesh",063924 10456,https://samhospital.co.in/,4.7,14,"Ward no 15, Gandhi Nagar, near Math Mandir, Ward Number 11, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open · Closes 11 pm,"{'latitude': 25.2579226, 'longitude': 83.26260669999999}",0x398e163ae0aa10b9:0x118261ef827a6468
Dr R D Memorial Hospital,Private Clinics,"Chandauli, Uttar Pradesh",077538 89705,,4.7,79,"ward no 3, Nehru Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2607397, 'longitude': 83.2576114}",0x398e17bbd9e6a29d:0x2721771273307431
Vedanta - Superspeciality Hospital & Trauma Center,Private Clinics,"Chandauli, Uttar Pradesh",094528 08837,http://vedantahospital.co.in/,4.5,13,"Grand Trunk Rd, near Pt Kamalapati Tripathi Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.259044199999998, 'longitude': 83.2752549}",0x398e1727231c7da5:0x5b5ed1fee1ea9a2b
Surya hospital,Private Clinics,"Chandauli, Uttar Pradesh",079921 31267,https://suryahospitalchandauli.in/,4.7,75,"G. T. Road, near punjab National Bank, Sanjay Nagar, FCI Colony, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2600031, 'longitude': 83.2493696}",0x39a007c776d48719:0x14eeaf3461c72a34
Baba Clinic And Nursing Home,Private Clinics,"Chandauli, Uttar Pradesh",,,4.3,6,"Danpur, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2620458, 'longitude': 83.2630856}",0x398e16304262a559:0x5e657aacd7fda091
Indrajeet Singh Memorial hospital,Private Clinics,"Chandauli, Uttar Pradesh",098391 43999,,4.7,6,"7767+C68, Near Tehsil chandauli ,Ward no.-11, Bichhiya Kala, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.259251, 'longitude': 83.262462}",0x398e163abf01c6bd:0x6a6cee59c880a2ee
Ditya hospital,Private Clinics,"Chandauli, Uttar Pradesh",084001 94461,,5,11,"Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2597407, 'longitude': 83.2752879}",0x398e164637dcc05f:0x40cd704fd8c586ad
Yatharth Homoeo Clinic(Dr.R.K.Maurya),Private Clinics,"Chandauli, Uttar Pradesh",084097 43947,,4.9,14,"ilia mode, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 10 am Wed,"{'latitude': 25.2581861, 'longitude': 83.2707734}",0x398e163860c28a61:0x29a5776d7cd745e4
Divyanshi Clinic,Private Clinics,"Chandauli, Uttar Pradesh",,,5,1,"7667+V88, ON NH, DST, Jhhansi, Chandauli, Uttar Pradesh 232104",,"{'latitude': 25.2621571, 'longitude': 83.2133437}",0x398e3d00283636b7:0xaaf15c8ff72679a9
Indira IVF Fertility Centre & Sam Hospital - Best IVF Center in Chandauli,Private Clinics,"Chandauli, Uttar Pradesh",088671 81100,https://www.indiraivf.com/,5,123,"Ward No. 14, Gandhinagar, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open · Closes 5 pm,"{'latitude': 25.2593087, 'longitude': 83.265333}",0x398e170bc3f53395:0x9f65f9662cfb6f61
राजन स्पेशिलिटी क्लीनिक,Private Clinics,"Chandauli, Uttar Pradesh",095062 62450,,4.8,9,"7754+RXM, Ward Number 11, Bichhiya Kala, Chandauli, Uttar Pradesh 232104",Closed · Opens 2 pm,"{'latitude': 25.259641799999997, 'longitude': 83.2574523}",0x398e17003ed983a1:0xcf2977465a3149b8
KG Nanda Hospital Chandauli,Private Clinics,"Chandauli, Uttar Pradesh",096283 00438,,3.7,147,"Word No.11, 7763+3PP, Sanjay Nagar, Infront of Chaurashia Petrol Pump, near CHAURASIYA PETROL PUMP, Bichhiya Kala, Chandauli, Jasori, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2603781, 'longitude': 83.2551563}",0x398e1628a794315b:0x180372a0f2950ada
Pandit Kamla Pati District Hospital Chandauli,Private Clinics,"Chandauli, Uttar Pradesh",,,3.9,94,"775F+F3V, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.258688, 'longitude': 83.2737859}",0x398e1647a4f6ab73:0x1543727a22d55f6
Suvidha Diagnostic Center,Diagnostic Centers,"Chandauli, Uttar Pradesh",098388 80101,https://sites.google.com/view/suvidha-diagnostic-chandauli/get-in-touch,3.6,50,"Pandit Kamlapati Tripathi, Grand Trunk Rd, near District Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2589223, 'longitude': 83.2758467}",0x398e17969f5f5337:0x70c0324151799464
Maa Vindhyavasini Diagnostic Centre,Diagnostic Centers,"Chandauli, Uttar Pradesh",095665 26052,,4.9,64,"bus station, Near Dharauli, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2598445, 'longitude': 83.26704509999999}",0x398e17579f92c0d5:0x17db6171963aa1d9
